Target,Model,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,NEF0.1,NEF0.5,NEF1,NEF5,REF0.1,REF0.5,REF1,REF5,Source,Notes
fen1,WatVina,,,,,,,,,0.75,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
gba,WatVina,,,,,,,,,9.76,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
idh1,WatVina,,,,,,,,,2.63,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
kat2a,WatVina,,,,,,,,,1.1,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
mapk1,WatVina,,,,,,,,,1.3,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
mtorc1,WatVina,,,,,,,,,0,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
oprk1,WatVina,,,,,,,,,0,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
pkm2,WatVina,,,,,,,,,2.54,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
pparg,WatVina,,,,,,,,,7.33,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
tp53,WatVina,,,,,,,,,0,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
vdr,WatVina,,,,,,,,,0.12,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
adrb2,CNNScore*WatVina,,,,,,,,,19.99,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
aldh1,CNNScore*WatVina,,,,,,,,,1.81,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
esr1a,CNNScore*WatVina,,,,,,,,,7.69,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
esr1t,CNNScore*WatVina,,,,,,,,,4.84,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
fen1,CNNScore*WatVina,,,,,,,,,5.24,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
gba,CNNScore*WatVina,,,,,,,,,9.76,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
idh1,CNNScore*WatVina,,,,,,,,,2.63,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
kat2a,CNNScore*WatVina,,,,,,,,,0,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
mapk1,CNNScore*WatVina,,,,,,,,,2.27,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
mtorc1,CNNScore*WatVina,,,,,,,,,0,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
oprk1,CNNScore*WatVina,,,,,,,,,0,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
pkm2,CNNScore*WatVina,,,,,,,,,4.11,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
pparg,CNNScore*WatVina,,,,,,,,,18.32,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
tp53,CNNScore*WatVina,,,,,,,,,0,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
vdr,CNNScore*WatVina,,,,,,,,,0.81,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
