Target,Model,AUC,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,NEF0.1,NEF0.5,NEF1,NEF5,Source,Notes
rock-1,KarmaDock Raw,,0.869430163,0.616772501,,,,,,15.0875,17.60208333,12.07,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
rxr,KarmaDock Raw,,0.941558089,0.725976875,,,,,,12.0125,18.68611111,12.0125,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
sars-hcov,KarmaDock Raw,,0.596330681,0.11284933,,,,,,6.148717949,5.58974359,1.563233377,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
sirt2,KarmaDock Raw,,0.547921968,0.002852405,,,,,,0,0,0,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
src,KarmaDock Raw,,0.852006832,0.744384673,,,,,,30.275,22.70625,12.11,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
thrombin,KarmaDock Raw,,0.939995734,0.922445807,,,,,,30.3,30.3,15.15,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
tie2,KarmaDock Raw,,0.787791199,0.813791287,,,,,,29.975,27.25,12.19322034,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
tk,KarmaDock Raw,,0.765012563,0.452354857,,,,,,15.425,15.425,9.103278689,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
tp,KarmaDock Raw,,0.718140244,0.450826276,,,,,,20.48,15.36,4.517647059,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
tpa,KarmaDock Raw,,0.968477293,0.89176092,,,,,,29.075,29.075,14.0362069,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
ts,KarmaDock Raw,,0.598919492,0.115651733,,,,,,0,0,3.5,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
upa,KarmaDock Raw,,0.721128893,0.773943649,,,,,,29.9,29.9,10.64237288,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
vegfr1,KarmaDock Raw,,0.807613636,0.452024748,,,,,,17.1,12.95454545,7.5,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
vegfr2,KarmaDock Raw,,0.837679932,0.498517937,,,,,,20.35,22.89375,6.505327869,https://www.nature.com/articles/s43588-023-00511-5,Not sure if NEF or EF
11betahsd1,NNscore(ODDT)/GlideSP,,0.678,0.041,,,,,0,0,0,3.069,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
17betahsd1,NNscore(ODDT)/GlideSP,,0.369,0.08,,,,,15.338,4.382,2.36,1.484,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
a2a,NNscore(ODDT)/GlideSP,,0.502,0.003,,,,,0,0,0,0.495,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ace,NNscore(ODDT)/GlideSP,,0.63,0.277,,,,,15.438,8.821,7.13,4.98,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ace2,NNscore(ODDT)/GlideSP,,0.594,0.079,,,,,0,0,2.38,3.497,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ache,NNscore(ODDT)/GlideSP,,0.554,0.019,,,,,0,0,0,0.985,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
adam17,NNscore(ODDT)/GlideSP,,0.531,0.048,,,,,0,0,0,1.488,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
adrb2,NNscore(ODDT)/GlideSP,,0.595,0.153,,,,,0,0,2.4,3.969,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
akt1,NNscore(ODDT)/GlideSP,,0.409,0,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
alr2,NNscore(ODDT)/GlideSP,,0.444,0.051,,,,,0,4.379,2.36,0.494,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ar,NNscore(ODDT)/GlideSP,,0.504,0.028,,,,,0,0,0,0.705,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
aurka,NNscore(ODDT)/GlideSP,,0.602,0.024,,,,,0,0,0,2.034,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
aurkb,NNscore(ODDT)/GlideSP,,0.54,0.148,,,,,0,4.339,4.67,2.49,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
bcl2,NNscore(ODDT)/GlideSP,,0.729,0.206,,,,,15.288,8.736,4.7,4.931,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
braf,NNscore(ODDT)/GlideSP,,0.57,0.023,,,,,0,0,0,1.016,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
catl,NNscore(ODDT)/GlideSP,,0.524,0.093,,,,,0,4.404,2.37,1.492,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
cdk2,NNscore(ODDT)/GlideSP,,0.481,0.062,,,,,0,0,0,2.492,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
cox1,NNscore(ODDT)/GlideSP,,0.462,0.047,,,,,0,0,0,2.051,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
cox2,NNscore(ODDT)/GlideSP,,0.783,0.324,,,,,0,0,7.7,6.449,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ctsk,NNscore(ODDT)/GlideSP,,0.542,0.001,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
cyp2a6,NNscore(ODDT)/GlideSP,,0.369,0,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
dhfr,NNscore(ODDT)/GlideSP,,0.44,0.046,,,,,0,0,2.35,0.987,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
egfr,NNscore(ODDT)/GlideSP,,0.527,0.062,,,,,0,4.414,2.38,1.52,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ephb4,NNscore(ODDT)/GlideSP,,0.669,0.273,,,,,0,13.007,9.34,3.98,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
erbb2,NNscore(ODDT)/GlideSP,,0.665,0.115,,,,,0,4.933,4.93,2.467,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
er-beta,NNscore(ODDT)/GlideSP,,0.342,0,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
fgfr1,NNscore(ODDT)/GlideSP,,0.6,0.095,,,,,0,4.913,2.46,1.499,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
fkbp1a,NNscore(ODDT)/GlideSP,,0.5,0.193,,,,,16.197,4.628,4.98,5.225,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
fxa,NNscore(ODDT)/GlideSP,,0.748,0.154,,,,,0,0,5.1,4.588,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
gba,NNscore(ODDT)/GlideSP,,0.481,0.006,,,,,0,0,0,0.996,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
gr,NNscore(ODDT)/GlideSP,,0.555,0.07,,,,,15.288,4.368,2.35,0.493,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
gsk3b,NNscore(ODDT)/GlideSP,,0.53,0.139,,,,,0,4.307,2.32,3.46,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hdac2,NNscore(ODDT)/GlideSP,,0.641,0.001,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hdac8,NNscore(ODDT)/GlideSP,,0.435,0.003,,,,,0,0,0,0.498,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hiv1pr,NNscore(ODDT)/GlideSP,,0.772,0.172,,,,,0,4.695,7.58,3.771,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hiv1rt,NNscore(ODDT)/GlideSP,,0.623,0.041,,,,,0,0,0,1.575,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hmgr,NNscore(ODDT)/GlideSP,,0.7,0.182,,,,,15.463,4.418,4.76,3.492,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hsp90,NNscore(ODDT)/GlideSP,,0.524,0.087,,,,,0,4.336,2.33,2.488,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
igf1r,NNscore(ODDT)/GlideSP,,0.543,0.01,,,,,0,0,0,0.505,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
inha,NNscore(ODDT)/GlideSP,,0.382,0,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
itk,NNscore(ODDT)/GlideSP,,0.605,0.014,,,,,0,0,0,1.997,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
jak3,NNscore(ODDT)/GlideSP,,0.563,0.041,,,,,0,0,0,0.998,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
jnk1,NNscore(ODDT)/GlideSP,,0.612,0.072,,,,,0,0,2.63,1.05,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
jnk2,NNscore(ODDT)/GlideSP,,0.416,0.073,,,,,0,5.004,2.5,1.018,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
jnk3,NNscore(ODDT)/GlideSP,,0.531,0.133,,,,,0,8.857,4.77,1.525,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
kif11,NNscore(ODDT)/GlideSP,,0.856,0.161,,,,,0,4.318,4.65,4.955,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
lck,NNscore(ODDT)/GlideSP,,0.434,0.007,,,,,0,0,0,0.493,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
mdm2,NNscore(ODDT)/GlideSP,,0.293,0,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
mk2,NNscore(ODDT)/GlideSP,,0.549,0.048,,,,,0,0,0,1.066,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
mmp2,NNscore(ODDT)/GlideSP,,0.466,0.012,,,,,0,0,0,0.495,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
na,NNscore(ODDT)/GlideSP,,0.792,0.065,,,,,0,4.425,2.38,1.998,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
p38-alpha,NNscore(ODDT)/GlideSP,,0.441,0.057,,,,,0,4.364,2.35,0.493,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
parp-1,NNscore(ODDT)/GlideSP,,0.651,0.266,,,,,15.075,8.614,11.6,3.46,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pde4b,NNscore(ODDT)/GlideSP,,0.655,0.062,,,,,0,0,2.37,1.987,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pde5,NNscore(ODDT)/GlideSP,,0.651,0.05,,,,,0,0,0,2.602,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pdk1,NNscore(ODDT)/GlideSP,,0.484,0.008,,,,,0,0,0,0.52,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pi3kg,NNscore(ODDT)/GlideSP,,0.492,0.006,,,,,0,0,0,0.509,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pim-1,NNscore(ODDT)/GlideSP,,0.61,0.019,,,,,0,0,0,1.486,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pim-2,NNscore(ODDT)/GlideSP,,0.632,0.073,,,,,0,0,2.38,2.031,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pnp,NNscore(ODDT)/GlideSP,,0.494,0.013,,,,,0,0,0,0.497,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ppara,NNscore(ODDT)/GlideSP,,0.497,0.007,,,,,0,0,0,0.525,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pparg,NNscore(ODDT)/GlideSP,,0.533,0.099,,,,,14.25,4.75,2.38,2.5,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pr,NNscore(ODDT)/GlideSP,,0.571,0.13,,,,,14.7,4.9,2.67,1.696,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
prkcq,NNscore(ODDT)/GlideSP,,0.619,0.133,,,,,15.789,10.526,5.26,1.579,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pygl-in,NNscore(ODDT)/GlideSP,,0.751,0.113,,,,,0,0,2.37,3.477,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pygl-out,NNscore(ODDT)/GlideSP,,0.526,0.079,,,,,0,0,0,2.99,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
qpct,NNscore(ODDT)/GlideSP,,0.523,0.001,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
rock-1,NNscore(ODDT)/GlideSP,,0.431,0.112,,,,,0,4.311,4.64,1.484,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
rxr,NNscore(ODDT)/GlideSP,,0.675,0.003,,,,,0,0,0,0.54,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
sars-hcov,NNscore(ODDT)/GlideSP,,0.574,0.329,,,,,30.821,17.612,11.85,3.537,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
sirt2,NNscore(ODDT)/GlideSP,,0.464,0.032,,,,,0,0,0,1.477,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
src,NNscore(ODDT)/GlideSP,,0.444,0,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
thrombin,NNscore(ODDT)/GlideSP,,0.665,0.058,,,,,0,0,0,3.657,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
tie2,NNscore(ODDT)/GlideSP,,0.485,0.063,,,,,0,4.996,2.5,1.499,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
tk,NNscore(ODDT)/GlideSP,,0.578,0.094,,,,,0,4.52,2.43,3.062,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
tp,NNscore(ODDT)/GlideSP,,0.423,0.007,,,,,0,0,0,0.644,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
tpa,NNscore(ODDT)/GlideSP,,0.429,0.011,,,,,0,0,0,0.518,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ts,NNscore(ODDT)/GlideSP,,0.535,0,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
upa,NNscore(ODDT)/GlideSP,,0.489,0.007,,,,,0,0,0,0.498,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
vegfr1,NNscore(ODDT)/GlideSP,,0.553,0.053,,,,,0,0,0,1.576,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
vegfr2,NNscore(ODDT)/GlideSP,,0.518,0.026,,,,,0,0,0,1.538,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
11betahsd1,NNscore1.0/GlideSP,,0.681,0.28,,,,,15.09,15.09,10.06,4.604,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
17betahsd1,NNscore1.0/GlideSP,,0.581,0.04,,,,,0,0,2.36,0.495,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
a2a,NNscore1.0/GlideSP,,0.525,0.136,,,,,0,8.771,4.72,2.476,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ace,NNscore1.0/GlideSP,,0.782,0.348,,,,,30.875,17.643,11.88,5.478,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ace2,NNscore1.0/GlideSP,,0.757,0.078,,,,,0,0,2.38,2.498,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ache,NNscore1.0/GlideSP,,0.669,0.087,,,,,0,0,2.35,2.462,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
adam17,NNscore1.0/GlideSP,,0.643,0.185,,,,,15.375,8.786,4.73,2.976,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
adrb2,NNscore1.0/GlideSP,,0.697,0.036,,,,,0,0,0,2.977,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
akt1,NNscore1.0/GlideSP,,0.603,0.018,,,,,0,0,0,1.01,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
alr2,NNscore1.0/GlideSP,,0.543,0.084,,,,,0,4.379,2.36,1.977,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ar,NNscore1.0/GlideSP,,0.832,0.23,,,,,0,5.643,3.22,6.348,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
aurka,NNscore1.0/GlideSP,,0.503,0.023,,,,,0,0,0,0.509,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
aurkb,NNscore1.0/GlideSP,,0.497,0.105,,,,,0,4.339,2.34,2.49,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
bcl2,NNscore1.0/GlideSP,,0.502,0.001,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
braf,NNscore1.0/GlideSP,,0.624,0.061,,,,,0,0,0,1.525,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
catl,NNscore1.0/GlideSP,,0.802,0.219,,,,,0,4.404,7.11,6.463,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
cdk2,NNscore1.0/GlideSP,,0.566,0.011,,,,,0,0,0,0.997,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
cox1,NNscore1.0/GlideSP,,0.564,0.051,,,,,0,0,0,1.538,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
cox2,NNscore1.0/GlideSP,,0.826,0.471,,,,,23.108,9.243,12.84,5.374,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ctsk,NNscore1.0/GlideSP,,0.798,0.11,,,,,0,0,2.38,4.482,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
cyp2a6,NNscore1.0/GlideSP,,0.477,0.001,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
dhfr,NNscore1.0/GlideSP,,0.661,0.226,,,,,15.3,8.743,7.06,3.948,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
egfr,NNscore1.0/GlideSP,,0.539,0.016,,,,,0,0,0,1.52,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ephb4,NNscore1.0/GlideSP,,0.564,0.084,,,,,15.175,4.336,2.33,1.99,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
erbb2,NNscore1.0/GlideSP,,0.693,0.185,,,,,0,4.933,4.93,3.453,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
er-beta,NNscore1.0/GlideSP,,0.811,0.352,,,,,0,11.434,6.35,6.126,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
fgfr1,NNscore1.0/GlideSP,,0.705,0.118,,,,,0,4.913,4.91,1.998,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
fkbp1a,NNscore1.0/GlideSP,,0.774,0.121,,,,,0,0,2.49,4.18,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
fxa,NNscore1.0/GlideSP,,0.709,0.185,,,,,15.295,10.197,5.1,3.569,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
gba,NNscore1.0/GlideSP,,0.649,0.063,,,,,0,0,0,1.494,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
gr,NNscore1.0/GlideSP,,0.654,0.018,,,,,0,0,0,1.973,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
gsk3b,NNscore1.0/GlideSP,,0.574,0.069,,,,,15.075,4.307,2.32,0.494,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hdac2,NNscore1.0/GlideSP,,0.609,0.057,,,,,0,4.336,2.33,1.493,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hdac8,NNscore1.0/GlideSP,,0.628,0.043,,,,,0,0,0,2.488,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hiv1pr,NNscore1.0/GlideSP,,0.797,0.208,,,,,0,4.695,5.06,4.849,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hiv1rt,NNscore1.0/GlideSP,,0.504,0.086,,,,,0,0,2.46,1.575,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hmgr,NNscore1.0/GlideSP,,0.929,0.51,,,,,15.463,17.671,16.65,11.472,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
hsp90,NNscore1.0/GlideSP,,0.568,0.086,,,,,15.175,4.336,2.33,1.493,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
igf1r,NNscore1.0/GlideSP,,0.559,0.028,,,,,0,0,0,1.515,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
inha,NNscore1.0/GlideSP,,0.533,0.001,,,,,0,0,0,0.494,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
itk,NNscore1.0/GlideSP,,0.539,0.066,,,,,0,0,2.34,1.997,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
jak3,NNscore1.0/GlideSP,,0.569,0.03,,,,,0,0,0,0.499,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
jnk1,NNscore1.0/GlideSP,,0.528,0.136,,,,,0,5.25,2.63,2.625,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
jnk2,NNscore1.0/GlideSP,,0.575,0.042,,,,,0,0,0,1.527,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
jnk3,NNscore1.0/GlideSP,,0.515,0.004,,,,,0,0,0,1.016,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
kif11,NNscore1.0/GlideSP,,0.741,0.102,,,,,0,4.318,2.33,1.982,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
lck,NNscore1.0/GlideSP,,0.626,0.059,,,,,0,4.3,2.32,1.48,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
mdm2,NNscore1.0/GlideSP,,0.754,0.507,,,,,29.95,19.967,22.46,6.988,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
mk2,NNscore1.0/GlideSP,,0.515,0.056,,,,,0,0,0,1.6,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
mmp2,NNscore1.0/GlideSP,,0.643,0.146,,,,,0,4.386,7.08,2.476,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
na,NNscore1.0/GlideSP,,0.848,0.505,,,,,0,17.7,19.06,8.493,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
p38-alpha,NNscore1.0/GlideSP,,0.472,0.134,,,,,15.275,8.729,4.7,1.971,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
parp-1,NNscore1.0/GlideSP,,0.6,0.051,,,,,0,0,0,2.966,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pde4b,NNscore1.0/GlideSP,,0.454,0.022,,,,,0,0,0,0.994,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pde5,NNscore1.0/GlideSP,,0.538,0.082,,,,,0,4.609,2.48,1.561,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pdk1,NNscore1.0/GlideSP,,0.627,0.08,,,,,0,4.534,2.44,2.081,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pi3kg,NNscore1.0/GlideSP,,0.636,0.058,,,,,0,0,2.39,1.526,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pim-1,NNscore1.0/GlideSP,,0.582,0.025,,,,,0,0,0,0.495,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pim-2,NNscore1.0/GlideSP,,0.577,0.045,,,,,0,0,0,1.523,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pnp,NNscore1.0/GlideSP,,0.476,0.155,,,,,0,4.404,7.11,1.989,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ppara,NNscore1.0/GlideSP,,0.635,0.274,,,,,0,4.991,9.98,4.729,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pparg,NNscore1.0/GlideSP,,0.631,0.202,,,,,0,0,7.13,5.5,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pr,NNscore1.0/GlideSP,,0.64,0.058,,,,,0,0,0,3.392,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
prkcq,NNscore1.0/GlideSP,,0.7,0.119,,,,,0,5.263,2.63,3.158,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pygl-in,NNscore1.0/GlideSP,,0.544,0.121,,,,,0,0,0,2.981,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
pygl-out,NNscore1.0/GlideSP,,0.825,0.36,,,,,30.9,13.243,9.51,9.469,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
qpct,NNscore1.0/GlideSP,,0.223,0.001,,,,,0,0,0,0,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
rock-1,NNscore1.0/GlideSP,,0.502,0.032,,,,,0,0,0,0.495,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
rxr,NNscore1.0/GlideSP,,0.867,0.623,,,,,0,10.368,12.96,11.34,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
sars-hcov,NNscore1.0/GlideSP,,0.414,0.026,,,,,0,0,0,0.505,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
sirt2,NNscore1.0/GlideSP,,0.525,0.037,,,,,0,0,0,2.462,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
src,NNscore1.0/GlideSP,,0.512,0.017,,,,,0,0,0,0.509,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
thrombin,NNscore1.0/GlideSP,,0.714,0.215,,,,,15.934,4.553,2.45,5.224,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
tie2,NNscore1.0/GlideSP,,0.566,0.101,,,,,0,0,2.5,2.498,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
tk,NNscore1.0/GlideSP,,0.767,0.086,,,,,0,0,0,4.593,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
tp,NNscore1.0/GlideSP,,0.48,0.006,,,,,0,0,0,0.644,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
tpa,NNscore1.0/GlideSP,,0.701,0.163,,,,,15.276,5.092,5.09,2.589,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ts,NNscore1.0/GlideSP,,0.567,0.005,,,,,0,0,0,0.5,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
upa,NNscore1.0/GlideSP,,0.557,0.105,,,,,0,4.983,2.49,1.495,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
vegfr1,NNscore1.0/GlideSP,,0.542,0.069,,,,,0,4.991,2.5,1.051,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
vegfr2,NNscore1.0/GlideSP,,0.528,0.03,,,,,0,0,0,1.026,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
11betahsd1,NNscore2.0/GlideSP,,0.65,0.208,,,,,0,0,10.06,4.604,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
17betahsd1,NNscore2.0/GlideSP,,0.654,0.023,,,,,0,0,0,0.99,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
a2a,NNscore2.0/GlideSP,,0.674,0.117,,,,,0,4.386,2.36,3.466,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
ace,NNscore2.0/GlideSP,,0.552,0.031,,,,,0,0,0,0.498,https://doi.org/10.1093/bib/bbaa070,Uses non-normalized EF
